Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Country,Company Name
Data & AI,Fleet Utilization,2015,Existing,https://flockfreight.com,Online marketplace for LTL freight transportation services,Series B,"90,000,000",USA,Flock Freight
Fuel & Efficiency,New Vessel Design,2016,Existing,https://fluxmarine.com,Developer of zero emissions electric boat motors,Seed,,USA,Flux Marine
Fuel & Efficiency,Energy Efficiency & Storage,2011,Existing,https://forseepower.com,Manufacturer of lithium battery systems for e-vehicles and electronic gadgets,Series B,"64,612,500",France,Forsee Power
Data & AI,Port-Side Analytics,2000,Existing,https://fortigo.com,SaaS solutions for logistics process optimization,Funded,,USA,Fortigo
Data & AI,Fleet Utilization,2015,Existing,https://fr8star.com,Online freight transport marketplace focused on open deck loads,Series A,"13,600,000",USA,Fr8star
Data & AI,Fleet Utilization,2014,Existing,https://freightexchange.com.au,Instant access to loads and customers,Seed,"80,000",Australia,Freight Exchange
Data & AI,Fleet Utilization,2016,Existing,https://freightbro.com,Cloud based software solutions for freight forwarders,Seed,"579,559",India,Freightbro
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2017,Emerging,https://freightfish.io,Developer of hydrofoiling ships for transportation of consumer goods,Seed,,New Zealand,FreightFish
Business Model Innovation,Freight Orchestration,2016,Emerging,https://freighthub.com,Tech-enabled freight forwarder,Series B,"53,364,380",Germany,FreightHub
Business Model Innovation,Freight Orchestration,2018,Distant,https://freightol.com,Online marketplace for freight forwarding services,Funded,,Spain,Freightol
Business Model Innovation,Switching Transport Mode,2012,Existing,https://freightos.com,Online marketplace for freight transportation,Series C,"92,710,000",USA,Freightos
Data & AI,Fleet Utilization,2015,Existing,https://freightw.com,Web-based ERP solution for freight forwarders,Funded,,Pakistan,FreightWaves
Business Model Innovation,Freight Orchestration,2015,Emerging,https://freightwalla.com,Yet-to-launch product for international freight logistics,Series A,"4,804,500",India,Freightwalla
Fuel & Efficiency,New Fuel Types,2012,Existing,https://fces.de,Fuel Cell based power plant developer,Funded,,Germany,FuelCell Energy Solutions
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2017,Emerging,https://fuelsave.io,Provider of fuel management & optimization solutions,Seed,"556,690",Portugal,FuelSave
Fuel & Efficiency,Energy Efficiency & Storage,2012,Existing,https://fuelsave-global.com,"Provides designing, development, testing & deployment of efficiency technology",Seed,,Germany,Fuelsave Global
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2012,Existing,https://fullsunpv.com,Concentrated PV module developer,Seed,,England,Fullsun Photovoltaics
Data & AI,Fleet Utilization,2014,Existing,https://fuyoukache.com,Online marketplace platform for long haul trucking,Series D,"270,000,000",China,Fuyoukache
Data & AI,Fleet Utilization,2010,Existing,https://g-ils.com,Sales and marketing SaaS offerings for freight forwarders,Funded,,USA,G-ils
Data & AI,Fleet Utilization,2006,Emerging,https://g7.com.cn,Logistics fleet management and tracking tools,Series D,"510,000,000",China,G7
Data & AI,Digital twin,2015,Distant,https://gaia.in,IoT solutions and services companies providing solutions for smart cities and other industrial clients,Seed,"805,032",India,Gaia
"Infrastructure, vessel & Asset efficiency",In-Port Vessel Time Reduction,2015,Emerging,https://geekplus.com.cn,Warehouse automation robots,Series C,"382,191,820",China,Geek+
Business Model Innovation,Freight Orchestration,2013,Existing,https://gencomex.com,Platform to discover and book international freight,Funded,,Argentina,Gencomex
Data & AI,5G Connectivity,2016,Distant,https://genrad.io,Developer of 3D radar technology for autonomous vehicles,Funded,,USA,General Radar
Data & AI,Digital twin,2016,Distant,https://geopi.pe,Provider of virtual reality solution,Seed,,USA,Geopi
CO2 Transparency,CO2 Tracking,2011,Existing,https://ghgsat.com,Greenhouse gas emission monitoring and analysis service provider,Series A,"20,000,000",Canada,GHGSat
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2010,Existing,https://globalthermostat.com/,Technology to capture carbon from atmosphere or industrial stacks,Funded,,USA,Global Thermostat
Business Model Innovation,Freight Orchestration,2013,Emerging,https://globatom.com,Online freight forwarder,Seed,"985,000",USA,Globatom
Data & AI,Fleet Utilization,2015,Existing,https://gobolt.in,Online marketplace for freight transport,Series A,"6,237,044",India,GoBOLT
Business Model Innovation,Freight Orchestration,2015,Emerging,https://gocomet.in,Online portal for freight booking and forwarding.,Series A,"2,511,123",India,GoComet
Business Model Innovation,Freight Orchestration,2016,Emerging,https://haoyunhu56.com,Online marketplace for freight transportation,Series A,"7,000,000",China,Good Luck Tiger
"Carbon CS, offsetting & trading",CO2 Upcycling,2016,Distant,https://graviky.com,Technology products related to air pollution,Seed,"119,000",India,Graviky
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2014,Emerging,https://greencitysolutions.de/en/,Green wall which captures CO2,Funded,,Germany,Green City Solutions
CO2 Transparency,CO2 Tracking,2014,Existing,https://greenseaguard.com,Emission monitoring systems for marine applications,Seed,"96,218",England,Green Sea Guard
Fuel & Efficiency,Energy Efficiency & Storage,2006,Existing,https://greensteam.com,Fuel efficiency solutions for commercial marine vessels,Seed,"2,000,000",Denmark,GreenSteam
Fuel & Efficiency,Energy Efficiency & Storage,2017,Emerging,https://greenstorc.com,Low-heat geothermal to energy and industrial waste heat recovery,Seed,"1,756,050",England,Greenstorc
"Infrastructure, vessel & Asset efficiency",In-Port Vessel Time Reduction,2011,Existing,https://greyorange.com,Develops warehouse automation robots,Series C,"179,386,780",India,GreyOrange
CO2 Transparency,Blockchain For CO2 Provenance,2016,Existing,https://gridsingularity.com,Decentralized Energy data exchange platform,Funded,,Austria,Grid Singularity
Data & AI,Fleet Utilization,2015,Existing,https://gridfreight.com,Software solution for the logistics industry,Seed,,United Arab Emirates,Grid Supply Chain
Fuel & Efficiency,Energy Efficiency & Storage,2010,Existing,https://gridless.com,Battery pack for off-grid applications,Seed,"1,165,103",USA,Gridless Power
CO2 Transparency,CO2 Tracking,2010,Existing,https://gridx.com,Financial Operating System for Decentralized Energy Markets,Funded,,USA,GridX
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2011,Existing,https://growenergy.org,Algae photo bioreactors for residential and commercial applications,Series B,,USA,Grow Energy
Data & AI,Digital twin,2015,Distant,https://grr-ithm.com,AI based digital twin platform provider for healthcare,Seed,"437,502",USA,Grr-ithm
Fuel & Efficiency,New Fuel Types,2017,Emerging,https://grz-technologies.com,Hydrogen storage solution for renewable energy projects,Seed,"29,426",Switzerland,GRZ Technologies
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2017,Emerging,https://xuantuliao.com,Service provider of coatings and paint,Seed,,China,Guangzhou Zibao Technology
Data & AI,Fleet Utilization,2008,Existing,https://huochebang.cn,Online marketplace for trucking services,Series A,"150,000,000",China,Guiyang Trucks Technology
Business Model Innovation,Freight Orchestration,2013,Emerging,https://gurucargo.com,"Marketplace for booking air, land & ocean freight",Seed,"750,000",Uruguay,Gurucargo
Fuel & Efficiency,New Fuel Types,2010,Existing,https://h2energynow.com,Hydrogen generation using radio waves,Seed,"75,000",Israel,H2 Energy Now
Fuel & Efficiency,New Fuel Types,2019,Distant,https://h2pro.co,Developer of a technology for producing hydrogen from water,Seed,"279,497",Israel,H2PRO
Fuel & Efficiency,New Fuel Types,2018,Distant,https://h2store.tech,Developer of hydrogen hydride storage batteries,Series A,"3,500,000",Australia,H2Store
Fuel & Efficiency,New Vessel Design,2015,Existing,https://h55.ch,Provides technology solutions for air transport,Seed,,Switzerland,H55
CO2 Transparency,CO2 Tracking,2009,Existing,https://heatremotesensing.com,Provider of emission testing solutions for the industries,Seed,"875,000",USA,Hager Environmental & Atmospheric Technologies
Business Model Innovation,Freight Orchestration,2016,Emerging,https://hakovo.com,Online marketplace for ocean shipping,Seed,,Singapore,Hakovo
Business Model Innovation,Freight Orchestration,2018,Distant,https://handship.es,Online marketplace for booking freights,Funded,,Spain,HandShip
Data & AI,Digital twin,2017,Distant,https://harperdb.io,"Schema-less, high scale database for both unstructured and structured data",Series A,"4,220,849",USA,HarperDB
Data & AI,Fleet Utilization,2017,Existing,https://haulio.io,Collaborative marketplace for booking trucking services,Seed,"802,784",Singapore,Haulio
Business Model Innovation,Freight Orchestration,2014,Existing,https://haveninc.com,Marketplace for ocean freight,Series A,"19,178,446",USA,Haven
Data & AI,Fleet Utilization,2015,Existing,https://he360.com,Track and monitor global transportation networks / maritime risk assessment and tracking,funded,,,HawkEye 360
Fuel & Efficiency,New Vessel Design,2018,Distant,https://heartaerospace.com,Manufacturer of electric airplanes,Seed,"2,095,680",Sweden,Heart Aerospace
Fuel & Efficiency,Energy Efficiency & Storage,2017,Emerging,https://heatventors.com,Provider of heat energy storage systems,Series A,"177,168",Hungary,HeatVentors
Data & AI,Fleet Utilization,2018,Existing,https://hefringmarine.com,Analytics solution for maritime operators,funded,,,Hefring Marine
"Infrastructure, vessel & Asset efficiency",Drones,2014,Emerging,https://heliceo.com,Builds UAVs and UAV systems,Seed,"1,630,800",France,Hélicéo
Fuel & Efficiency,Energy Efficiency & Storage,2010,Existing,https://heliexpower.com,Waste heat and steam to clean electricity,Series B,"13,994,370",England,Heliex Power
Fuel & Efficiency,New Fuel Types,2013,Existing,https://helionenergy.com,Magnetic-nuclear fusion reactor developer,Series B,"12,100,000",USA,Helion Energy
Data & AI,Digital twin,2017,Distant,https://heliosiot.com,Provider of solar power plant performance analytics solutions,Funded,,India,Helios
Data & AI,Digital twin,2016,Distant,https://holobuilder.com,Webeditor to create VR experiences,Seed,"2,300,000",USA,HoloBuilder
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2015,Emerging,https://hoverenergy.com,Maglev Wind Turbine developer,Seed,"710,000",USA,Hover Energy
"Infrastructure, vessel & Asset efficiency",Crew Incentivisation,2017,Emerging,https://humu.com,Employee productivity and retention solution,Series B,"70,534,995",USA,Humu
Data & AI,Fleet Utilization,2011,Existing,https://56qq.com,Mobile app based freight transporters marketplace,Series B,"382,000,000",China,Huochebang
Business Model Innovation,Freight Orchestration,2015,Emerging,https://huoner.com,Online booking platform for air cargo,Seed,,China,Huoner
Fuel & Efficiency,New Fuel Types,2019,Distant,https://hydrogen-es.com,Provider of hydrogen energy system,Funded,,Cyprus,Hydrogen Energy Systems
Fuel & Efficiency,New Fuel Types,2013,Existing,https://hydrogenious.net,Large scale Hydrogen storage providers,Series A,"18,949,000",Germany,Hydrogenious Technologies
Fuel & Efficiency,Energy Efficiency & Storage,2010,Existing,https://hydrostor.ca,Underwater Compressed Air Energy Storage,Series B,"37,000,000",Canada,Hydrostor
Fuel & Efficiency,Energy Efficiency & Storage,2015,Existing,https://hyliion.com,Regenerative braking based add-on hybrid solution for trucks and trailers,Series A,"46,800,000",USA,Hyliion
Fuel & Efficiency,New Fuel Types,2014,Existing,https://hylium-industries.com,Manufacturer of liquid hydrogen and liquid storage vessels,Seed,,South Korea,Hylium Industries
Business Model Innovation,Green Freight,2017,Emerging,https://hyon.no,Provider of hydrogen production and storage solutions,Funded,,Norway,Hyon
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2014,Emerging,https://coldfromheat.com,Provider of cooling solutions from waste solar heat,Seed,"2,100,000",USA,HyperBorean
Fuel & Efficiency,New Fuel Types,2015,Emerging,https://hysilabs.com,Technology developer for safe storage and transportation of hydrogen,Series A,"2,236,500",France,HySiLabs
Business Model Innovation,Freight Orchestration,2007,Existing,https://icontainers.com,Online freight forwarder providing door to door shipping,Series C,"9,188,905",Spain,iContainers
Data & AI,Fleet Utilization,2001,Existing,https://idea-sba.com,Fleet management solution for vessels,,,,Idea Sba
Business Model Innovation,Freight Orchestration,2015,Emerging,https://iletscargo.com,Online platform for finding quotes from air and sea transporters,Seed,"700,000",Taiwan,Ilets Cargo
Data & AI,Digital twin,2014,Existing,https://imerso.com,Cloud-based 3D scanning app for businesses,Seed,"2,000,000",Norway,Imerso
"Infrastructure, vessel & Asset efficiency",Drones,2016,Emerging,https://impossible.aero,Developer of long-range electric quadcopter drone,Series A,"11,000,000",USA,Impossible Aerospace
Business Model Innovation,CO2 Reduction Monetization In Other Industries,2019,Distant,https://impossiblelabs.io/,Concrete and flexible products made out of CO2,,,,Impossible Labs
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2013,Existing,https://impulse-technology.com,"Nanofabrication, MEMS design and ultra thin film characterization of nanomaterials.",Seed,"25,000",USA,Impulse Technology
Data & AI,Digital twin,2017,Distant,https://indus.ai,Digital twin platform for construction,Series A,"11,700,000",USA,Indus AI
Data & AI,Fleet Utilization,2017,Distant,https://infante.space,Developer of microsatellite for maritime applications,,,,INFANTE
"Carbon CS, offsetting & trading",CO2 Upcycling,2014,Existing,https://infinitreellc.com/,"tool designed to sequester harmful greenhouse gases and repurpose captured CO2 as a feedstock for greenhouse atmosphere enrichment, effectively increasing greenhouse crop yields and resource efficiency while simultaneously reducing CO2 levels in our atmosphere.",,,,Infinitree
"Infrastructure, vessel & Asset efficiency",Drones,2015,Emerging,https://innno.net,Provides unmanned aerial vehicles to industries,Series A,"2,898,270",China,Inno
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2015,Emerging,https://insolight.ch,High efficiency CPV solar cells developer,Seed,"2,723,015",Switzerland,Insolight
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2008,Existing,https://intelligenteco.com,Fuel consumption saving technology,Funded,,Chile,Intelligent Eco Solutions
Business Model Innovation,Freight Orchestration,2000,Existing,https://inttra.com,International cargo-booking portal,Acquired,"89,500,000",USA,Inttra
Data & AI,Digital twin,2012,Distant,https://invicara.com,Cloud-based collaborative BIM data quality checker,Series A,"10,000,000",USA,Invicara
"Carbon CS, offsetting & trading",CO2 Upcycling,2007,Existing,https://carboncure.com,"Developer of green concrete technologies: carbon dioxide (CO2) is retrieved from CO2 emitters and input into ready mix concrete and concrete masonry products, where the the CO2 becomes chemically converted into a mineral",Series D,"88,309,570",Canada,CarbonCure
Fuel & Efficiency,Fuel Additives,2013,Emerging,https://ionada.com,Manufacturer and supplier of exhaust gas cleaning systems,Funded,,Canada,ionada
Data & AI,Digital twin,2014,Distant,https://iotic-labs.com,Environment & virtual space to enable data exchange of IoT applications,Series A,"8,369,040",England,Iotic Labs
Data & AI,5G Connectivity,2013,Existing,https://isotropicsystems.com,Satellite communication antennas provider,Series A,"20,122,501",England,Isotropic Systems
Fuel & Efficiency,Energy Efficiency & Storage,2011,Existing,https://jinhe-energy.com,Manufacturer of heat storage materials and systems,Series A,,China,Jinhe Energy
Data & AI,Digital twin,2014,Existing,https://kaarta.com,Real-time 3D mapping and localization solutions,Series A,"6,645,822",USA,Kaarta
Data & AI,Fleet Utilization,2018,Existing,https://kargo.tech,Online marketplace for freight transportation services,Seed,"7,600,000",Indonesia,Kargo
Data & AI,Demand & Supply Prediction,2016,Emerging,https://kayrros.com,Predictive analytics for oil and gas industry,Series B,"37,367,200",France,Kayrros
"Infrastructure, vessel & Asset efficiency",Drones,2013,Existing,https://kespry.com,Commercial drone systems,Series D,"61,350,000",USA,Kespry
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2011,Existing,https://kps.energy,Airborne wind turbine manufacturer,Series A,"6,341,750",England,Kite Power Solutions
Data & AI,Fleet Utilization,2017,Existing,https://klavenessdigital.com,AI-enabled software solutions for the maritime logistics industry,,,,Klaveness Digital
Data & AI,Fleet Utilization,2011,Existing,https://knlnetworks.com,Provides IoT focused maritime telecommunication,funded,,,KNL Networks
Business Model Innovation,Freight Orchestration,2014,Emerging,https://kontainers.com,Freight Forwarder for container shipping,Seed,"1,444,000",England,Kontainers
Fuel & Efficiency,Energy Efficiency & Storage,2013,Emerging,https://kulrtechnology.com,Carbon fibre-based heat exchange and thermal management technology developer,Seed,"1,157,000",USA,KULR Technology
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2016,Emerging,https://kumbaya.co,Developer of solar charging solution,Seed,"600,000",USA,Kumbaya
Data & AI,5G Connectivity,2012,Existing,https://kymetacorp.com,Electronic beamforming antenna for satellite communications,Series E,"217,600,000",USA,Kymeta
Business Model Innovation,Freight Orchestration,2017,Emerging,https://ladingo.com,Online platform for e-tailers to book ocean shipping services,Seed,"1,000,000",Israel,Ladingo
"Carbon CS, offsetting & trading",CO2 Upcycling,2017,Existing,https://daphnetechnology.com,Nanotechnology based solution for air pollution control,funded,,,Daphne Technology
Fuel & Efficiency,New Fuel Types,2013,Existing,https://leadcold.com,Lead-cooled Nuclear reactor systems,Series B,"218,000,000",Sweden,LeadCold Reactors
"Infrastructure, vessel & Asset efficiency",In-Port Vessel Time Reduction,2013,Existing,https://leap-india.com,"Provider of transportation, inventory management, supply chain,and returnable packaging solutions",Series C,"61,402,700",India,Leap India
Business Model Innovation,Freight Orchestration,2014,Emerging,https://letscargo.cn,Air and ocean freight booking platform,Funded,,China,LetsCargo
Data & AI,Fleet Utilization,2013,Existing,https://lineten.com,End-to-end back-office management solutions for multi-channel retailers,Seed,"4,632,400",England,Lineten
Data & AI,Digital twin,2014,Distant,https://liradolf.com,Cloud- based solutions for manufacturing sector,Seed,"54,462",India,Liradolf
Data & AI,Digital twin,2010,Distant,https://livingmap.com,Mapping services provider,Series A,"4,689,680",England,Living Map
Data & AI,Digital twin,2015,Distant,https://llamazoo.com,Interactive online platform anatomy learning,Funded,"500,000",Canada,LlamaZOO
CO2 Transparency,Blockchain For CO2 Provenance,2012,Existing,https://lo3Energy.com,Blockchain technology for microgrids,Series A,"5,761,156",USA,LO3 Energy
Data & AI,Fleet Utilization,2016,Existing,https://loadfox.eu,Online platform for booking road freight services,Funded,,Germany,LoadFox
Data & AI,Fleet Utilization,2007,Existing,https://locussoftware.com,Software solutions provider for freight forwarders and NVOCCs,Funded,,England,Locus Software
Fuel & Efficiency,New Fuel Types,2014,Emerging,https://log9materials.com,Nanomaterials manufacturing and R&D,Series A,"4,870,970",India,Log9materials
Data & AI,Fleet Utilization,2017,Existing,https://logivan.com,Online market platform connecting shippers and carriers,Series A,"7,900,000",Vietnam,LOGIVAN
Data & AI,Fleet Utilization,2014,Existing,https://loji.com,Marketplace connecting truckers and shippers,Series B,"129,746,955",China,Loji
"Infrastructure, vessel & Asset efficiency",Drones,2017,Distant,https://lorenztechnology.com,Provider of drone-based security and inspection services to enterprises,Funded,,Denmark,Lorenz Technology
Business Model Innovation,Freight Orchestration,2013,Emerging,https://lotebox.com,Maritime sales software with focus on utilizing extra container spaces on shipping lines,Seed,"100,000",Brazil,Lotebox
Data & AI,Digital twin,2016,Distant,https://luminousgroup.co.uk,Develops VR based interactive architecture visualization solutions,Seed,"850,876",England,Luminous Group
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2017,Distant,https://lunewave.com,Antenna and radar sensor technology developer,Seed,"3,750,000",USA,Lunewave
Business Model Innovation,Freight Orchestration,2014,Emerging,https://lvmae.com,Online freight transport marketplace,Seed,"1,600,000",China,Lvmae
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2011,Existing,https://magnuss.com,Wind-based sailing system for ship propulsion,Funded,,USA,Magnuss
Data & AI,Port-Side Analytics,2016,Existing,https://maindeck.io,Online platform connecting ship managers and dockyards,Funded,,Norway,Maindeck
Data & AI,Fleet Utilization,2013,Existing,https://maninnovation.com,Software solutions for logistics,Funded,,Thailand,Man Innovation
Data & AI,Fleet Utilization,2017,Existing,https://manbangbang.com,Online marketplace for road freight transportation,Funded,"1,900,000,000",China,ManBang
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2014,Emerging,https://marimetrics.com,Limited information available,Funded,,Canada,Marimetrics
Data & AI,Fleet Utilization,2011,Existing,https://fishpoints.net,Application for marine navigation tbc commercial application,,,,Marine Navigation
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2002,Emerging,https://marorka.com,Energy Management System for ocean vessels,Acquired,,Iceland,Marorka
Data & AI,Demand & Supply Prediction,2003,Existing,https://maslog.com.my,SaaS provider for logistics solutions,Seed,,Malaysia,Maslog IT Solutions
Data & AI,Digital twin,2011,Emerging,https://matterport.com,Camera for creating 3D Models of interior spaces,Series D,"114,000,000",USA,Matterport
Fuel & Efficiency,Energy Efficiency & Storage,2011,Existing,https://meinengenergy.com,Flow battery based energy storage system developer,Series A,"12,800,000",China,Meineng Energy
Data & AI,5G Connectivity,2017,Emerging,https://metawave.co,Smart radar and 5G antenna systems provider,Series A,"17,000,000",USA,Metawave
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2013,Existing,https://metronlab.com,Provider of energy performance monitoring solutions for industries,Series A,"22,730,700",France,METRON
Data & AI,5G Connectivity,2005,Distant,https://mightyworks.co.kr,Audio processing thechnology,Funded,,South Korea,MightyWorks
Data & AI,Digital twin,2013,Distant,https://miris.no,Digital twin platform for smart building,Funded,,Norway,MIRIS
Business Model Innovation,Freight Orchestration,2015,Emerging,https://mizzenit.com,Spot marketplace for containerised shipping,Seed,"1,000,000",Australia,MizzenIt
Fuel & Efficiency,Energy Efficiency & Storage,2015,Existing,https://modernelectron.com,Heat to energy technology solutions provider,Series A,"10,000,000",USA,Modern Electron
Business Model Innovation,Freight Orchestration,2015,Emerging,https://modugo.com,Online marketplace for modular buildings,Funded,,USA,ModuGo
"Carbon CS, offsetting & trading",CO2 Upcycling,2005,Existing,https://lanzatech.com,Technology developer and Bioethanol manufacturer,Series E,"289,300,000",USA,LanzaTech
Fuel & Efficiency,New Fuel Types,2013,Emerging,https://moltexenergy.com,Molten Salt reactor technology developer,Funded,,England,Moltex Energy
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2017,Emerging,https://momentus.space,Developer of in-space rockets powered by water plasma engines,Series A,"34,000,000",USA,Momentus Space
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2016,Emerging,https://mosaicmaterials.com/,"focused on developing advanced materials for gas separation. The company uses Metal-organic frameworks (MOFs), which are porous solids, for selectively capturing CO2 from gases. Partnering with Exxon to capture carbon at emission source",Seed,,USA,Mosaic Materials
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2012,Existing,https://autonautusv.com,Developed a wave propelled USV,Series A,,England,MOST Autonomous Vessels
Fuel & Efficiency,New Vessel Design,2016,Emerging,https://mothership.aero,Manufacture of autonomous,Seed,"1,774,965",USA,​Mothership Aeronautics
Data & AI,5G Connectivity,2000,Existing,https://motia.com,Wireless semiconductor and system level products,Series C,"17,000,000",USA,Motia
"Infrastructure, vessel & Asset efficiency",Crew Incentivisation,2016,Emerging,https://motivatingsystems.com,Workplace rewards management solutions,Seed,"1,500,000",USA,Motivating Systems
Data & AI,5G Connectivity,2016,Emerging,https://movandi.com,5G antenna solutions with beamforming technology,Series B,"39,500,021",USA,Movandi
Data & AI,Fleet Utilization,2000,Emerging,https://mp-objects.com,SaaS-based solution for end-to-end logistics & supply chain management,Series A,"10,000,000",USA,MPO
Fuel & Efficiency,Fuel Additives,2010,Existing,https://nanol.eu,Manufacturer of lubricant nano-additive component for fuels,Seed,,Finland,Nanol
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2018,Distant,https://nanotechengineeringinc.com,Developer of nanotechnology-based PV systems,Series A,"3,684,550",USA,Nanotech Engineering
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2017,Distant,https://napro.com.pe,Developer of renewable energy projects,Series A,"2,500,000",Peru,NAPRO
"Infrastructure, vessel & Asset efficiency",Drones,2015,Existing,https://natilus.co,Develops a large unmanned aerial vehicle for cargo transport,Seed,,USA,Natilus
"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,2000,Existing,https://nativeenergy.com/,Provides carbon offset software,Series A,"12,579,052",USA,NativeEnergy
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2006,Existing,https://fueltrax.com,Marine fuel management systems,Funded,,USA,Nautical Control Solutions
Data & AI,Vessel Flow Efficiency,2016,Emerging,https://nautiluslabs.co,Big data analytics for maritime vessel operations,Series A,"14,500,000",USA,Nautilus Labs
Data & AI,Fleet Utilization,2017,Existing,https://nautoshark.com,Develops software application and tools for maritime,,,,NautoShark
Data & AI,Port-Side Analytics,2015,Existing,https://navalport.com,Software solutions for ports/terminals,Funded,,Brazil,Navalport
Data & AI,Digital twin,2013,Existing,https://navvis.com,Develops digital twin powered indoor navigation solution for enterprises,Series C,"43,700,000",Germany,NavVis
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2012,Existing,https://nbdnano.com,Developing enhanced condensation and anti-wetting surface coatings,Series B,"14,408,000",USA,NBD Nanotechnology
Data & AI,Demand & Supply Prediction,2014,Emerging,https://neewee.ai,IoT-based analytics solutions provider,Series A,"3,544,484",India,Neewee
Data & AI,Fleet Utilization,2018,Existing,https://neptunenavigation.co.uk,Provider of navigation software solution,,,,Neptune Navigation
Fuel & Efficiency,Energy Efficiency & Storage,2018,Distant,https://nept.io,Provider of robotic solution for inspection of cargo ship hulls,Seed,"55,000",China,Neptune Robotics
"Carbon CS, offsetting & trading",CO2 Upcycling,2007,Existing,https://newskyenergy.com,Waste streams to valuable chemicals technology developer,Funded,,USA,New Sky Energy
Business Model Innovation,Freight Orchestration,2014,Existing,https://nyshex.com,Online marketplace for ocean freight,Series A,"15,311,541",USA,New York Shipping Exchange
Fuel & Efficiency,New Vessel Design,2002,Existing,https://newlight.com,Developed a new plastic material using methane based green house gases.,Series D,"70,784,242",United States,Newlight
Business Model Innovation,CO2 Reduction Monetization In Other Industries,2002,Existing,https://newlight.com/,Transform CO2 - bioplastic,Series D,"70,800,000",USA,Newlight Technologies
Data & AI,Fleet Utilization,2016,Emerging,https://ngaviation.eu,Not maritime - Developer of data handling software for aeronautical information management,,,,NG Aviation
Data & AI,Port-Side Analytics,2005,Existing,https://cargogm.com,SaaS-based freight management solutions,Series A,"20,000,000",China,Ningbo Dazhang
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2012,Existing,https://norsepower.com,Provider of cargo vessel auxiliary wind propulsion systems to reduce fuel consumption,Series A,"14,842,300",Finland,Norsepower
Fuel & Efficiency,New Vessel Design,2015,Emerging,https://notiloplus.com,Provider of autonomous underwater robotic solution for consumer and industrial use,Series A,"2,227,500",France,Notilo Plus
"Carbon CS, offsetting & trading",CO2 Upcycling,2018,Distant,https://novonutrients.com,Developer of bio-production platform to transform carbon dioxide into useful products,Seed,"250,000",USA,NovoNutrients
Business Model Innovation,Freight Orchestration,2018,Distant,https://nowports.com,AI-based tech-enabled freight forwarder,Seed,"5,450,000",Mexico,Nowports
Fuel & Efficiency,Energy Efficiency & Storage,2012,Existing,https://nrstor.com,Energy storage project developer,Series A,"11,000,000",Canada,NRStor
Business Model Innovation,Freight Orchestration,2019,Distant,https://nuvocargo.com,Tech-enabled freight forwarder,Seed,"120,000",USA,Nuvocargo
Fuel & Efficiency,Fuel Additives,2010,Emerging,https://oberonfuels.com,Produce variants of Dimethyl ether( an alternative for biodiesel),Seed,"595,155",USA,Oberon Fuels
Business Model Innovation,Freight Orchestration,2015,Emerging,https://theofe.com,Online marketplace for ocean freight transportation,Funded,,USA,Ocean Freight Exchange
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2013,Existing,https://offgridbox.com,Off-grid power solution developer using solar energy,Seed,"2,315,000",USA,Off Grid Box
Fuel & Efficiency,New Fuel Types,2013,Emerging,https://oklo.com,Emission free Nuclear Fission Generator,Seed,"120,000",USA,Oklo
Business Model Innovation,Freight Orchestration,2002,Existing,https://olymtech.com,SaaS solution and marketplace for freight forwarders,Series B,"34,267,500",China,OlymTech
Fuel & Efficiency,New Fuel Types,2014,Emerging,https://onescientific.com,Fuel cell technology developer,Seed,"476,566",USA,One Scientific
Data & AI,Fleet Utilization,2016,Existing,https://ontruck.com,Online marketplace for on-demand trucking services,Series B,"41,109,640",Spain,OnTruck
